"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","vancouver"
"Ubicación:","Lat., long.: 49.25, -123.14"
"Lat. (° N):","49.25"
"Long. (° O):","123.14"
"Altitud (m):","39.360000610352"
"Tamaño del sistema en CC (kW):","30"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","12.1"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","6","14","0","15","3","2","14.198","1.202","406.902","246.426"
"1","6","15","0","3","3","2","2.835","0.89","81.354","0"
"1","6","16","0","0","3","2","0","3","0","0"
"1","6","17","0","0","3","2","0","3","0","0"
"1","6","18","0","0","3","2","0","3","0","0"
"1","6","19","0","0","3","2","0","3","0","0"
"1","6","20","0","0","3","2","0","3","0","0"
"1","6","21","0","0","3","2","0","3","0","0"
"1","6","22","0","0","3","2","0","3","0","0"
"1","6","23","0","0","3","2","0","3","0","0"
"1","7","0","0","0","3","3","0","3","0","0"
"1","7","1","0","0","3","3","0","3","0","0"
"1","7","2","0","0","4","3","0","4","0","0"
"1","7","3","0","0","4","3","0","4","0","0"
"1","7","4","0","0","4","3","0","4","0","0"
"1","7","5","0","0","4","3","0","4","0","0"
"1","7","6","0","0","3","3","0","3","0","0"
"1","7","7","0","0","3","3","0","3","0","0"
"1","7","8","0","6","3","2","5.674","0.917","162.804","6.804"
"1","7","9","0","35","3","2","33.204","1.729","949.465","778.775"
"1","7","10","7","90","4","2","95.976","4.644","2705.938","2499.679"
"1","7","11","699","67","4","2","521.942","16.703","13673.74","13158.9"
"1","7","12","24","120","4","2","145.942","7.894","4054.39","3818.23"
"1","7","13","329","101","4","2","328.166","11.584","8829.236","8469.079"
"1","7","14","671","47","3","2","402.478","13.295","10439.822","10031.467"
"1","7","15","484","32","2","2","224.087","7.652","5631.874","5357.875"
"1","7","16","0","0","2","2","0","2","0","0"
"1","7","17","0","0","1","2","0","1","0","0"
"1","7","18","0","0","1","2","0","1","0","0"
"1","7","19","0","0","1","2","0","1","0","0"
"1","7","20","0","0","1","2","0","1","0","0"
"1","7","21","0","0","1","2","0","1","0","0"
"1","7","22","0","0","1","2","0","1","0","0"
"1","7","23","0","0","0","2","0","0","0","0"
"1","8","0","0","0","0","2","0","0","0","0"
"1","8","1","0","0","0","2","0","0","0","0"
"1","8","2","0","0","0","2","0","0","0","0"
"1","8","3","0","0","0","2","0","0","0","0"
"1","8","4","0","0","0","2","0","0","0","0"
"1","8","5","0","0","0","2","0","0","0","0"
"1","8","6","0","0","0","2","0","0","0","0"
"1","8","7","0","0","0","2","0","0","0","0"
"1","8","8","214","16","0","2","85.855","0.196","2120.535","1926.555"
"1","8","9","173","58","1","2","147.721","3.308","4008.547","3773.441"
"1","8","10","687","54","1","2","446.052","11.881","11769.787","11319.209"
"1","8","11","16","113","2","2","125.543","5.048","3532.182","3307.869"
"1","8","12","180","128","2","2","262.333","7.694","7238.728","6923.013"
"1","8","13","285","107","2","1","300.8","10.936","8126.041","7785.919"
"1","8","14","668","49","1","1","404.9","13.529","10502.394","10092.102"
"1","8","15","489","33","1","1","228.208","8.367","5727.555","5451.161"
"1","8","16","0","0","0","1","0","0","0","0"
"1","8","17","0","0","0","1","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","0","0","0","0","0","0"
"1","8","21","0","0","0","0","0","0","0","0"
"1","8","22","0","0","-1","1","0","-1","0","0"
"1","8","23","0","0","-1","2","0","-1","0","0"
"1","9","0","0","0","-1","2","0","-1","0","0"
"1","9","1","0","0","-2","3","0","-2","0","0"
"1","9","2","0","0","-3","3","0","-3","0","0"
"1","9","3","0","0","-4","3","0","-4","0","0"
"1","9","4","0","0","-4","3","0","-4","0","0"
"1","9","5","0","0","-4","3","0","-4","0","0"
"1","9","6","0","0","-5","3","0","-5","0","0"
"1","9","7","0","0","-5","3","0","-5","0","0"
"1","9","8","0","26","-5","3","27.9","-6.296","824.94","656.626"
"1","9","9","559","43","-4","3","298.813","1.667","7938.9","7604.008"
"1","9","10","721","53","-3","3","463.906","7.522","12475.369","12001.5"
"1","9","11","445","94","-2","3","397.695","7.335","10903.406","10480.582"
"1","9","12","344","114","-2","3","366.977","6.392","10147.438","9748.072"
"1","9","13","223","113","-1","3","272.387","4.948","7571.739","7246.979"
"1","9","14","701","48","-1","3","422.047","8.383","11200.713","10768.47"
"1","9","15","530","33","-2","3","244.639","3.424","6270.446","5980.252"
"1","9","16","0","0","-3","3","0","-3","0","0"
"1","9","17","0","0","-4","3","0","-4","0","0"
"1","9","18","0","0","-5","3","0","-5","0","0"
"1","9","19","0","0","-5","3","0","-5","0","0"
"1","9","20","0","0","-6","3","0","-6","0","0"
"1","9","21","0","0","-6","3","0","-6","0","0"
"1","9","22","0","0","-6","3","0","-6","0","0"
"1","9","23","0","0","-7","3","0","-7","0","0"
"1","10","0","0","0","-7","3","0","-7","0","0"
"1","10","1","0","0","-7","3","0","-7","0","0"
"1","10","2","0","0","-7","3","0","-7","0","0"
"1","10","3","0","0","-7","3","0","-7","0","0"
"1","10","4","0","0","-7","3","0","-7","0","0"
"1","10","5","0","0","-7","3","0","-7","0","0"
"1","10","6","0","0","-7","3","0","-7","0","0"
"1","10","7","0","0","-7","3","0","-7","0","0"
"1","10","8","0","12","-6","3","11.366","-7.726","338.027","178.821"
"1","10","9","22","58","-5","2","72.781","-5.165","2117.423","1923.507"
"1","10","10","0","30","-3","2","28.431","-4.202","833.415","664.94"
"1","10","11","0","88","-2","2","86.778","-1.677","2517.248","2314.993"
"1","10","12","0","93","-1","2","91.845","-0.296","2648.875","2443.831"
"1","10","13","712","67","-1","2","520.221","11.758","13904.103","13381.182"
"1","10","14","614","60","-1","2","397.32","9.934","10512.79","10102.176"
"1","10","15","0","24","-2","2","22.748","-2.068","660.935","495.722"
"1","10","16","0","0","-2","2","0","-2","0","0"
"1","10","17","0","0","-3","2","0","-3","0","0"
"1","10","18","0","0","-3","2","0","-3","0","0"
"1","10","19","0","0","-3","2","0","-3","0","0"
"1","10","20","0","0","-3","2","0","-3","0","0"
"1","10","21","0","0","-3","2","0","-3","0","0"
"1","10","22","0","0","-3","2","0","-3","0","0"
"1","10","23","0","0","-3","2","0","-3","0","0"
"1","11","0","0","0","-3","2","0","-3","0","0"
"1","11","1","0","0","-3","2","0","-3","0","0"
"1","11","2","0","0","-3","2","0","-3","0","0"
"1","11","3","0","0","-3","2","0","-3","0","0"
"1","11","4","0","0","-3","2","0","-3","0","0"
"1","11","5","0","0","-3","2","0","-3","0","0"
"1","11","6","0","0","-3","2","0","-3","0","0"
"1","11","7","0","0","-3","2","0","-3","0","0"
"1","11","8","0","16","-3","2","15.17","-4.879","445.94","284.74"
"1","11","9","119","61","-3","2","129.112","-1.506","3612.19","3386.084"
"1","11","10","92","101","-2","2","168.395","1.069","4768.562","4515.652"
"1","11","11","115","127","-2","2","219.14","2.667","6190.063","5901.935"
"1","11","12","86","133","-2","2","200.969","2.345","5697.228","5421.594"
"1","11","13","48","117","-2","2","156.907","1.02","4476.613","4230.627"
"1","11","14","34","87","-2","2","112.531","-0.425","3221.266","3003.846"
"1","11","15","0","31","-2","2","29.409","-3.008","857.834","688.894"
"1","11","16","0","0","-2","2","0","-2","0","0"
"1","11","17","0","0","-2","2","0","-2","0","0"
"1","11","18","0","0","-2","3","0","-2","0","0"
"1","11","19","0","0","-2","3","0","-2","0","0"
"1","11","20","0","0","-2","3","0","-2","0","0"
"1","11","21","0","0","-2","3","0","-2","0","0"
"1","11","22","0","0","-2","3","0","-2","0","0"
"1","11","23","0","0","-2","4","0","-2","0","0"
"1","12","0","0","0","-2","4","0","-2","0","0"
"1","12","1","0","0","-2","4","0","-2","0","0"
"1","12","2","0","0","-1","4","0","-1","0","0"
"1","12","3","0","0","-1","4","0","-1","0","0"
"1","12","4","0","0","-1","4","0","-1","0","0"
"1","12","5","0","0","0","3","0","0","0","0"
"1","12","6","0","0","0","3","0","0","0","0"
"1","12","7","0","0","0","3","0","0","0","0"
"1","12","8","0","25","1","3","26.262","-0.296","757.417","590.383"
"1","12","9","424","54","2","3","255.395","6.544","6706.796","6405.245"
"1","12","10","567","73","3","3","409.912","11.98","10860.931","10439.444"
"1","12","11","21","118","3","3","133.917","5.601","3757.408","3528.027"
"1","12","12","0","50","3","3","47.445","2.645","1351.443","1172.949"
"1","12","13","0","56","3","3","53.16","2.54","1514.897","1333.174"
"1","12","14","132","91","3","2","174.382","5.944","4800.562","4546.888"
"1","12","15","177","50","3","2","133.029","5.231","3529.796","3305.537"
"1","12","16","0","0","2","2","0","2","0","0"
"1","12","17","0","0","2","2","0","2","0","0"
"1","12","18","0","0","2","2","0","2","0","0"
"1","12","19","0","0","2","2","0","2","0","0"
"1","12","20","0","0","2","2","0","2","0","0"
"1","12","21","0","0","2","2","0","2","0","0"
"1","12","22","0","0","2","2","0","2","0","0"
"1","12","23","0","0","2","2","0","2","0","0"
"1","13","0","0","0","2","2","0","2","0","0"
"1","13","1","0","0","2","3","0","2","0","0"
"1","13","2","0","0","2","3","0","2","0","0"
"1","13","3","0","0","2","3","0","2","0","0"
"1","13","4","0","0","2","3","0","2","0","0"
"1","13","5","0","0","2","2","0","2","0","0"
"1","13","6","0","0","2","2","0","2","0","0"
"1","13","7","0","0","3","1","0","3","0","0"
"1","13","8","0","7","3","1","6.621","0.408","190.386","33.884"
"1","13","9","0","35","4","1","33.199","2.389","946.687","776.05"
"1","13","10","0","25","4","1","23.684","2.22","675.836","510.343"
"1","13","11","0","40","5","1","37.934","3.674","1075.785","902.664"
"1","13","12","0","13","5","1","12.31","2.873","350.293","190.861"
"1","13","13","50","120","5","1","161.565","7.872","4476.473","4230.49"
"1","13","14","0","29","5","1","27.481","4.141","777.805","610.385"
"1","13","15","0","38","5","1","37.084","3.67","1051.699","879.043"
"1","13","16","0","0","4","1","0","4","0","0"
"1","13","17","0","0","4","1","0","4","0","0"
"1","13","18","0","0","4","1","0","4","0","0"
"1","13","19","0","0","4","1","0","4","0","0"
"1","13","20","0","0","4","1","0","4","0","0"
"1","13","21","0","0","4","1","0","4","0","0"
"1","13","22","0","0","4","1","0","4","0","0"
"1","13","23","0","0","4","1","0","4","0","0"
"1","14","0","0","0","4","1","0","4","0","0"
"1","14","1","0","0","4","1","0","4","0","0"
"1","14","2","0","0","4","1","0","4","0","0"
"1","14","3","0","0","4","1","0","4","0","0"
"1","14","4","0","0","3","1","0","3","0","0"
"1","14","5","0","0","3","2","0","3","0","0"
"1","14","6","0","0","3","2","0","3","0","0"
"1","14","7","0","0","4","2","0","4","0","0"
"1","14","8","0","1","4","2","0.944","1.797","26.997","0"
"1","14","9","0","7","4","2","6.62","1.963","189.105","32.626"
"1","14","10","0","39","4","2","36.984","2.854","1052.519","879.848"
"1","14","11","0","29","5","2","27.484","3.712","779.312","611.864"
"1","14","12","0","15","6","2","14.205","4.312","401.761","241.38"
"1","14","13","679","69","6","2","509.947","18.056","13275.618","12774.587"
"1","14","14","100","94","6","1","161.922","11.679","4365.244","4121.872"
"1","14","15","0","45","5","1","45.3","4.766","1278.695","1101.629"
"1","14","16","0","0","5","1","0","5","0","0"
"1","14","17","0","0","5","1","0","5","0","0"
"1","14","18","0","0","5","1","0","5","0","0"
"1","14","19","0","0","5","1","0","5","0","0"
"1","14","20","0","0","5","1","0","5","0","0"
"1","14","21","0","0","5","1","0","5","0","0"
"1","14","22","0","0","5","1","0","5","0","0"
"1","14","23","0","0","5","1","0","5","0","0"
"1","15","0","0","0","5","1","0","5","0","0"
"1","15","1","0","0","5","1","0","5","0","0"
"1","15","2","0","0","4","1","0","4","0","0"
"1","15","3","0","0","4","1","0","4","0","0"
"1","15","4","0","0","4","1","0","4","0","0"
"1","15","5","0","0","4","1","0","4","0","0"
"1","15","6","0","0","4","1","0","4","0","0"
"1","15","7","0","0","4","1","0","4","0","0"
"1","15","8","0","11","4","1","10.415","1.563","298.019","139.548"
"1","15","9","0","49","4","1","48.154","2.932","1369.957","1191.099"
"1","15","10","0","79","5","1","78.274","5.221","2205.156","2009.428"
"1","15","11","0","96","5","1","95.161","5.986","2672.063","2466.526"
"1","15","12","0","46","5","1","43.64","4.303","1234.283","1058.084"
"1","15","13","0","78","5","1","75.704","5.106","2133.785","1939.531"
"1","15","14","0","24","5","1","22.734","3.461","645.324","480.404"
"1","15","15","0","22","5","1","20.842","3.078","592.581","428.65"
"1","15","16","0","0","5","1","0","5","0","0"
"1","15","17","0","0","4","2","0","4","0","0"
"1","15","18","0","0","4","2","0","4","0","0"
"1","15","19","0","0","4","2","0","4","0","0"
"1","15","20","0","0","4","1","0","4","0","0"
"1","15","21","0","0","4","1","0","4","0","0"
"1","15","22","0","0","3","1","0","3","0","0"
"1","15","23","0","0","3","1","0","3","0","0"
"1","16","0","0","0","3","1","0","3","0","0"
"1","16","1","0","0","3","1","0","3","0","0"
"1","16","2","0","0","4","1","0","4","0","0"
"1","16","3","0","0","4","1","0","4","0","0"
"1","16","4","0","0","5","1","0","5","0","0"
"1","16","5","0","0","5","2","0","5","0","0"
"1","16","6","0","0","5","1","0","5","0","0"
"1","16","7","0","0","6","1","0","6","0","0"
"1","16","8","0","2","6","2","1.889","3.857","53.536","0"
"1","16","9","0","11","6","2","10.407","4.107","294.591","136.183"
"1","16","10","0","14","6","2","13.253","4.22","374.969","215.082"
"1","16","11","0","48","6","2","45.542","5.152","1283.404","1106.245"
"1","16","12","0","11","6","2","10.415","4.273","294.62","136.212"
"1","16","13","55","126","6","1","171.672","9.21","4729.076","4477.109"
"1","16","14","0","11","6","1","10.41","4.624","294.018","135.62"
"1","16","15","6","51","6","1","54.487","5.189","1528.127","1346.141"
"1","16","16","0","5","6","1","4.727","3.731","134.033","0"
"1","16","17","0","0","6","1","0","6","0","0"
"1","16","18","0","0","6","1","0","6","0","0"
"1","16","19","0","0","6","1","0","6","0","0"
"1","16","20","0","0","5","1","0","5","0","0"
"1","16","21","0","0","5","1","0","5","0","0"
"1","16","22","0","0","5","1","0","5","0","0"
"1","16","23","0","0","5","1","0","5","0","0"
"1","17","0","0","0","5","1","0","5","0","0"
"1","17","1","0","0","5","1","0","5","0","0"
"1","17","2","0","0","5","1","0","5","0","0"
"1","17","3","0","0","4","2","0","4","0","0"
"1","17","4","0","0","4","2","0","4","0","0"
"1","17","5","0","0","4","2","0","4","0","0"
"1","17","6","0","0","4","2","0","4","0","0"
"1","17","7","0","0","4","2","0","4","0","0"
"1","17","8","155","23","4","2","77.375","4.004","1940.296","1750.012"
"1","17","9","489","53","4","2","284.766","10.13","7356.976","7038.065"
"1","17","10","648","66","5","2","451.138","16.425","11719.287","11270.352"
"1","17","11","27","125","5","2","152.629","8.814","4222.5","3982.455"
"1","17","12","0","69","5","2","65.649","5.244","1849.29","1660.856"
"1","17","13","0","54","5","2","51.253","4.501","1448.385","1267.98"
"1","17","14","0","89","4","2","90.509","4.558","2557.111","2354.014"
"1","17","15","0","10","4","2","9.46","2.388","269.741","111.789"
"1","17","16","0","14","3","2","13.272","1.172","380.405","220.418"
"1","17","17","0","0","2","2","0","2","0","0"
"1","17","18","0","0","2","2","0","2","0","0"
"1","17","19","0","0","2","1","0","2","0","0"
"1","17","20","0","0","2","1","0","2","0","0"
"1","17","21","0","0","1","1","0","1","0","0"
"1","17","22","0","0","1","1","0","1","0","0"
"1","17","23","0","0","1","0","0","1","0","0"
"1","18","0","0","0","1","0","0","1","0","0"
"1","18","1","0","0","1","0","0","1","0","0"
"1","18","2","0","0","1","0","0","1","0","0"
"1","18","3","0","0","1","0","0","1","0","0"
"1","18","4","0","0","1","1","0","1","0","0"
"1","18","5","0","0","1","1","0","1","0","0"
"1","18","6","0","0","1","1","0","1","0","0"
"1","18","7","0","0","1","1","0","1","0","0"
"1","18","8","0","3","1","1","2.835","-1.68","82.226","0"
"1","18","9","0","13","2","0","12.302","-2.029","357.372","197.81"
"1","18","10","5","98","2","0","102.504","2.643","2916.714","2705.929"
"1","18","11","3","117","3","0","120.453","6.179","3378.223","3157.338"
"1","18","12","0","112","3","0","112.057","6.093","3145.052","2929.302"
"1","18","13","450","99","2","0","408.373","17.151","10728.593","10311.257"
"1","18","14","324","88","2","1","288.656","11.339","7703.982","7375.591"
"1","18","15","76","56","1","1","96.55","3.279","2653.945","2448.793"
"1","18","16","60","12","0","1","33.733","-1.093","873.287","704.053"
"1","18","17","0","0","0","2","0","0","0","0"
"1","18","18","0","0","0","2","0","0","0","0"
"1","18","19","0","0","0","2","0","0","0","0"
"1","18","20","0","0","0","2","0","0","0","0"
"1","18","21","0","0","0","2","0","0","0","0"
"1","18","22","0","0","0","2","0","0","0","0"
"1","18","23","0","0","-1","2","0","-1","0","0"
"1","19","0","0","0","-1","1","0","-1","0","0"
"1","19","1","0","0","-1","1","0","-1","0","0"
"1","19","2","0","0","-1","1","0","-1","0","0"
"1","19","3","0","0","-1","1","0","-1","0","0"
"1","19","4","0","0","-2","1","0","-2","0","0"
"1","19","5","0","0","-2","1","0","-2","0","0"
"1","19","6","0","0","-2","1","0","-2","0","0"
"1","19","7","0","0","-2","1","0","-2","0","0"
"1","19","8","287","21","-1","1","111.958","0.26","2749.106","2541.924"
"1","19","9","586","45","0","0","318.861","11.744","8147.752","7807.022"
"1","19","10","0","91","0","0","91.376","4.848","2578.385","2374.838"
"1","19","11","25","127","0","0","153.385","4.624","4322.232","4079.865"
"1","19","12","766","67","1","0","594.143","23.232","15193.526","14624.166"
"1","19","13","0","87","1","1","85.054","4.689","2401.644","2201.82"
"1","19","14","641","61","1","1","428.862","13.155","11255.677","10821.68"
"1","19","15","485","45","0","1","259.466","8.549","6657.094","6356.848"
"1","19","16","0","17","0","1","16.331","-0.689","471.771","310.092"
"1","19","17","0","0","0","1","0","0","0","0"
"1","19","18","0","0","0","1","0","0","0","0"
"1","19","19","0","0","0","1","0","0","0","0"
"1","19","20","0","0","0","1","0","0","0","0"
"1","19","21","0","0","0","1","0","0","0","0"
"1","19","22","0","0","0","1","0","0","0","0"
"1","19","23","0","0","0","1","0","0","0","0"
"1","20","0","0","0","0","2","0","0","0","0"
"1","20","1","0","0","0","2","0","0","0","0"
"1","20","2","0","0","0","2","0","0","0","0"
"1","20","3","0","0","0","2","0","0","0","0"
"1","20","4","0","0","0","2","0","0","0","0"
"1","20","5","0","0","0","2","0","0","0","0"
"1","20","6","0","0","0","2","0","0","0","0"
"1","20","7","0","0","0","2","0","0","0","0"
"1","20","8","0","0","0","2","0","0","0","0"
"1","20","9","0","3","0","2","2.836","-2.205","82.449","0"
"1","20","10","0","33","0","2","31.281","-1.372","906.228","736.364"
"1","20","11","0","25","0","2","23.689","-1.479","686.611","520.914"
"1","20","12","0","33","1","2","31.286","-0.279","902.236","732.449"
"1","20","13","0","36","1","2","34.133","-0.167","983.885","812.535"
